,epsilon_progress,nfe
0,0,0
1,83,100
2,734,1199
3,1345,2292
4,1944,3390
5,2441,4483
6,2878,5579
7,3270,6677
8,3703,7772
9,4155,8868
10,4452,9962
11,4453,13338
12,4620,17840
13,4905,22342
14,5427,26844
15,6123,31346
16,6946,35848
17,7822,40349
18,8647,44850
19,9495,49351
