,epsilon_progress,nfe
0,0,0
1,83,100
2,736,1192
3,1286,2283
4,1808,3380
5,2392,4477
6,2772,5576
7,3061,6672
8,3474,7761
9,3778,8761
10,4044,9859
11,4076,14415
12,4291,20357
13,4740,26299
14,5523,32240
15,6614,38181
16,7895,44123
