,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,3,3,0,0,1,0,0,7,0,0,7,2,3,121644599.3504275,0.0,47842699.56310011,0.0,111951616.97485995,0.028306042421122002,14261651.781499248,0.0,236339839.42183834,0.0175674983318412,121200000.0,2665.879038902211
1283,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,3,2,6,1,3,3,3,4,1,9,3,0,0.0,0.0,173329410.61581492,0.0,73003113.46313787,0.0,31552828.795895115,0.00016485116098860513,94182724.21680857,0.0,182600000.0,113.5894098590929
1284,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,5,4,0,0,7,2,0,3,9,1,1,32694901.094161935,0.0,173865304.48421052,0.0,40747429.56304817,0.005481728282801092,43712261.00646071,0.006207917783354055,122027466.9135035,0.0,351800000.0,0.0
1285,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,2,0,5,2,0,1,7,0,3,9,2,3,0.0,0.0,106358076.75473303,0.0,43878096.290305056,0.0,24956580.074387155,0.0,134353552.7470025,0.0,612100000.0,0.0
1286,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,5,0,1,3,1,0,1,0,0,3,3,0,6,3,3,92648501.6727509,0.0,90143923.5488522,0.0,20299287.62732069,0.0,21870564.51642397,0.0009681224092118921,183896564.32240617,0.027415338229145023,334500000.0,0.0
1287,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,7,1,3,0,3,0,0,3,5,5,0,0,6,0,1,164837270.4882678,0.0,63658021.851082735,0.0010699881743390558,86190465.2165117,0.0038365107199499096,11068771.68625446,0.0,146211569.1835948,0.004689959765827385,448200000.0,2743.1376814353907
1288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,3,0,7,2,3,0,5,1,0,9,2,1,72222705.9376919,0.0,128933649.86623067,0.0,48047840.36663434,0.0,19096063.881300036,5.3968306067108814e-05,233844853.63713387,0.016769601398633725,30700000.0,1557.9532667820235
1289,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,1,4,0,0,3,2,1,9,0,9,5,4,119045917.89979702,0.0,109283469.28525728,0.002581062677828307,78908048.350632,0.009236090946108222,72640345.13606845,0.0037465471824725686,156165857.55979902,0.0,115300000.0,1322.9950050355576
1290,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,2,1,0,7,1,0,6,0,2,5,0,0,9,2,2,72222705.9376919,0.0,121701716.67461371,0.0,58517988.01954745,0.0,11068771.68625446,0.0,162695629.54111987,0.0016816058593048914,182600000.0,967.8122199952986
1291,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,2,7,0,3,1,3,0,2,5,0,2,9,4,7,164101945.90149587,0.0,115972236.97109596,0.004156426809744008,48716867.66610375,0.0,19742157.81013341,0.0,166677013.65181747,0.0,242400000.0,323.0731809521693
