,epsilon_progress,nfe
0,0,0
1,72,100
2,731,1199
3,1288,2293
4,1726,3293
5,2284,4387
6,2684,5481
7,2948,6579
8,3266,7675
9,3563,8772
10,3831,9867
11,3848,14713
