,RfR Total Costs,Total Expected Evacuation Costs,A.1_Expected Total Damage,A.1_Total Dike Investment Costs,A.1_Total Expected Number of Deaths,A.2_Expected Total Damage,A.2_Total Dike Investment Costs,A.2_Total Expected Number of Deaths,A.3_Expected Total Damage,A.3_Total Dike Investment Costs,A.3_Total Expected Number of Deaths,A.4_Expected Total Damage,A.4_Total Dike Investment Costs,A.4_Total Expected Number of Deaths,A.5_Expected Total Damage,A.5_Total Dike Investment Costs,A.5_Total Expected Number of Deaths
0,0.0,0.0,0.0076520479872508405,0,0.0076520479872508405,0.043151315293209695,0,0.043151315293209695,2.023106591059367,0,2.023106591059367,0.04831623656119924,0,0.04831623656119924,0.0,0,0.0
1,0.0,0.0,0.3117034713004835,0,0.3117034713004835,0.18470278486196776,0,0.18470278486196776,0.0,0,0.0,0.009898938447932625,0,0.009898938447932625,0.0,0,0.0
2,0.0,0.0,1.9478436722155759,0,1.9478436722155759,0.0,0,0.0,0.2141689119248566,0,0.2141689119248566,0.007358706188114154,0,0.007358706188114154,0.0,0,0.0
3,0.0,0.0,0.0,0,0.0,0.005865084810019988,0,0.005865084810019988,1.9941326769805356,0,1.9941326769805356,0.0,0,0.0,0.0,0,0.0
4,0.0,0.0,1.9210418368567852,0,1.9210418368567852,0.3714354508702459,0,0.3714354508702459,0.0,0,0.0,0.028410680317789122,0,0.028410680317789122,0.0,0,0.0
5,0.0,0.0,0.0,0,0.0,0.01991966087608331,0,0.01991966087608331,0.2982530640905031,0,0.2982530640905031,0.007331063217848517,0,0.007331063217848517,0.01583030401603107,0,0.01583030401603107
6,0.0,0.0,1.9537137737608141,0,1.9537137737608141,0.0,0,0.0,0.023917007133101284,0,0.023917007133101284,0.004206546518372868,0,0.004206546518372868,0.0031080003063699425,0,0.0031080003063699425
7,0.0,0.0,0.0,0,0.0,0.04231480137720338,0,0.04231480137720338,0.0,0,0.0,0.0011676010960637035,0,0.0011676010960637035,0.0,0,0.0
8,0.0,0.0,0.6145232755118626,0,0.6145232755118626,0.8361980136677394,0,0.8361980136677394,3.362174654803038,0,3.362174654803038,0.0,0,0.0,0.0,0,0.0
9,0.0,0.0,1.9352772821473399,0,1.9352772821473399,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
