,epsilon_progress,nfe
0,0,0
1,82,100
2,768,1197
3,1370,2292
4,1925,3386
5,2412,4479
6,2922,5572
7,3354,6669
8,3827,7768
9,4219,8865
10,4627,9956
11,4627,13862
