,epsilon_progress,nfe
0,0,0
1,80,100
2,374,1198
3,588,2294
4,745,3391
5,901,4391
6,1077,5484
7,1238,6583
8,1414,7677
9,1569,8775
10,1733,9869
11,2611,13819
12,3801,18953
