,epsilon_progress,nfe
0,0,0
1,83,100
2,645,1100
3,1222,2198
4,1757,3289
5,2184,4386
6,2551,5484
7,2828,6581
8,3169,7679
9,3514,8772
10,3775,9867
11,3795,12779
12,3908,16529
