,epsilon_progress,nfe
0,0,0
1,78,100
2,510,1196
3,710,2293
4,891,3390
5,1048,4483
6,1186,5579
7,1324,6676
8,1464,7773
9,1577,8870
10,1696,9968
11,2004,12908
12,2570,16827
