,epsilon_progress,nfe
0,0,0
1,89,100
2,583,1195
3,799,2294
4,992,3391
5,1190,4486
6,1382,5584
7,1560,6678
8,1719,7771
9,1874,8867
10,2031,9965
11,2763,13847
12,3699,19021
