,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,6,4,6,0,0,6,3,4,4,2,5,0,8,0,0,204216615.22867584,0.0,66045103.44010488,0.0,86806179.74687824,0.0,23665270.855630994,0.0003708157866109831,48463701.69719181,0.0,425000000.0,75.18036367545871
1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,4,0,2,5,0,1,1,0,1,5,0,0,8,2,0,90462322.17815001,0.0,104651657.86617124,0.0,41292219.28177295,0.0,11068771.68625446,0.0,84546876.76859967,0.0,850300000.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,4,4,0,1,1,3,1,9,3,0,42291505.65437629,0.0,99885909.50154212,0.0,49622725.1402255,0.0,91642786.92608526,0.002349006502797819,94182724.21680857,0.0,0.0,1937.7317584683813
3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,1,0,1,1,0,2,7,0,0,9,3,0,32694901.094161935,0.0,77797112.44472042,0.0,43224599.14167526,0.0,14261651.781499248,0.0,107617762.83272979,0.0008837178824974789,267200000.0,320.12182138735903
4,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,3,1,0,0,6,0,5,0,2,4,0,1,0,6,0,0,32694901.094161935,0.0,138724961.8150669,0.0,50406479.71948833,0.0,93540462.47850755,0.002251915777066022,40273672.383724004,0.0,552300000.0,3111.4036304210804
5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,6,0,2,0,0,0,3,0,7,1,1,9,0,0,60717312.84309486,0.0,42818415.6714978,0.0,34771797.998451985,0.0010846379953852326,30528580.36230105,0.0,55286684.14389449,0.00011320099604540233,273100000.0,286.34471979337025
6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,7,5,1,0,0,0,0,1,3,0,0,1,9,0,0,185354345.85630804,0.0,0.0,0.0,45324187.55237766,0.0,156279196.65621597,0.0038939047562013677,53114002.716882035,0.0,182600000.0,5333.210493529239
7,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,6,7,0,0,0,2,0,4,9,3,3,0.0,0.0,199302948.34470654,0.0,0.0,0.0,42607336.76290683,0.0007115580415284978,139607005.7544109,0.0,267200000.0,836.1589680248733
8,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,1,3,1,1,0,1,0,2,0,4,0,0,6,5,3,113829615.07026595,0.0,77797112.44472042,0.0,22167818.198803753,0.0,9695195.36216505,0.0,152517031.41397607,0.0011863207803760277,425000000.0,720.6988873880882
9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,1,3,0,0,0,5,6,4,3,0,9,3,0,101474517.63440433,0.0,47842699.56310011,0.0,76586389.69336289,0.0010978332002566948,19512630.40693653,4.573167077632055e-06,94182724.21680857,0.0,151900000.0,226.40349613829758
