,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,3,1,2,0,0,0,0,5,1,1,1,6,2,8,2,2,71223146.50296113,0.0,16304899.720441826,0.0008725958934066542,77644475.05391562,0.0,38155303.99331022,0.00024165123879261405,123138170.19754994,0.0,727400000.0,765.51006780979
1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,3,0,0,2,2,5,3,3,1,10,5,3,66507014.9338145,0.0,47842699.56310011,0.0,78817561.50663751,0.0,30471413.725264918,0.00121019479135307,159741503.85416204,0.0,297900000.0,0.0
2,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,3,2,5,0,3,0,1,0,0,6,2,0,1,8,0,1,94979303.71425684,0.0,90143923.5488522,0.0,31398797.71871161,0.0,30371113.941660028,0.00044661003846561595,81222228.2680157,0.0,690800000.0,562.1133233741616
3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,3,2,0,1,0,1,4,7,7,2,9,6,0,104000676.5449382,0.0,83721931.52190953,0.0,58046445.501640044,0.008835147068450214,44040927.70340644,0.0,107608403.84178665,0.0,273100000.0,0.0
4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,3,3,4,0,0,4,3,1,0,10,5,1,42291505.65437629,0.0,166036044.30113757,0.0,47036445.24121401,0.006222756238133798,21867433.65086547,0.0005679228863186672,150944567.22807723,0.0,267200000.0,316.01440042250607
5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,3,6,7,5,2,0,0,5,6,0,8,2,4,135274189.70659953,0.0,247687966.29366034,0.0,22167818.198803753,0.0,27671415.57498861,5.547610667270281e-05,307256153.9716289,0.009122028371649965,115300000.0,5331.658536008663
6,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,2,0,0,0,2,0,2,3,0,3,1,2,1,9,2,1,0.0,0.0,88613111.95505467,0.0,50962397.12067895,0.0,25586411.515171096,0.00015043575819995836,126662916.24481738,0.0,765700000.0,135.57124708912073
7,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,0,5,0,0,4,0,0,5,5,0,6,0,1,42291505.65437629,0.0,59410102.93073928,0.0,26403379.542306438,0.0,24162426.948826768,0.0,155878689.17928508,0.03535003827077686,594200000.0,0.0
8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,2,1,5,0,0,0,7,0,0,5,1,3,10,2,6,131919288.31926736,0.0,36089446.47998109,0.0019117378302772846,34221561.73832255,0.0,28887426.50547571,0.0,157041748.30526182,0.0,388400000.0,934.575153266804
9,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,2,0,0,2,1,0,0,7,0,0,4,4,0,9,7,9,37255203.23710208,0.0,39774143.5328917,0.00010264127826560833,34221561.73832255,0.0,20785047.17797311,0.0,203837860.00741637,0.0,509600000.0,31.740776446048454
10,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,7,0,2,7,7,6,3,0,0,4,0,0,8,0,3,115272862.040791,0.0,271785414.69060427,0.0,24198032.45136138,0.0,10120608.688405842,0.00010652757257308506,129393053.85141568,0.017551915893804282,357700000.0,0.0
11,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,5,5,0,1,7,0,0,2,7,2,10,0,0,88511693.9986257,0.0,104651657.86617124,0.0,34221561.73832255,0.0,39068121.5299886,0.0005349883014301145,58176627.77592012,0.0,660100000.0,110.5550287234997
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,4,4,0,0,4,7,7,3,5,3,7,6,1,95213987.28559849,0.0,53358573.6002109,0.0,115071648.08041006,0.0,36691929.147160225,0.00014522337496236838,212782556.0795728,0.004020484758475683,121200000.0,2563.178889912994
