,epsilon_progress,nfe
0,0,0
1,82,100
2,783,1194
3,1340,2293
4,1939,3389
5,2396,4484
6,2865,5580
7,3279,6675
8,3610,7768
9,3925,8866
10,4203,9962
11,4207,13682
12,4445,18641
