,epsilon_progress,nfe
0,0,0
1,96,100
2,437,1199
3,671,2295
4,881,3393
5,1095,4490
6,1316,5589
7,1534,6683
8,1738,7781
9,1922,8879
10,2123,9971
11,3798,15231
12,5700,22244
13,8065,29258
14,10324,36271
15,12357,43285
